;"GERÊNCIA DE SUPRIMENTOS
LISTA DE ITENS VIGENTES EM ATAS E CONTRATOS - ATT 12/08/2026";;;;;;;;;;;
;COD. PRODUTO FLUIG;CONTRATO;ENTIDADE;STATUSCONTRATO;FORNECEDOR;DATA INICIO;DATA FIM;IDPRD RM;NOME FANTASIA;DESC. PRODUTO;R$ TOTAL CONTRATO;CNPJ
;563515;2026.0246;SENAI-DR/ES;VIGENTE;ELETROVAN MATERIAL ELETRICO LTDA.;31/07/2026;31/07/2027;16393;LUVA DE SEGURANCA ISOLANTE DE BORRACHA, TIPO II, CLASSE 2;LUVA DE SEGURANCA ISOLANTE DE BORRACHA, TIPO II, CLASSE 2 SUPORTA TENSAO MAXIMA DE USO: 1700 V.;1.320.408,70;02.577.095/0001-36
;556510;2026.0246;SENAI-DR/ES;VIGENTE;ELETROVAN MATERIAL ELETRICO LTDA.;31/07/2026;31/07/2027;9837;TOUCA PROTECAO, COMPLEMENTO: SOLDADOR;TOUCA PROTECAO, COMPLEMENTO: SOLDADOR;1.320.408,70;02.577.095/0001-36
;556332;2026.0246;SENAI-DR/ES;VIGENTE;ELETROVAN MATERIAL ELETRICO LTDA.;31/07/2026;31/07/2027;9649;TOUCA DESCARTAVEL, COMPLEMENTO: SANFONADA TNT PCT 100 UNIDADES;TOUCA DESCARTAVEL, COMPLEMENTO: SANFONADA TNT PCT 100 UNIDADES;1.320.408,70;02.577.095/0001-36
;556244;2026.0246;SENAI-DR/ES;VIGENTE;ELETROVAN MATERIAL ELETRICO LTDA.;31/07/2026;31/07/2027;9559;TALABARTE SEGURANCA, COMPLEMENTO: ABSORVEDOR;TALABARTE SEGURANCA, COMPLEMENTO: ABSORVEDOR;1.320.408,70;02.577.095/0001-36
;569620;2026.0246;SENAI-DR/ES;VIGENTE;ELETROVAN MATERIAL ELETRICO LTDA.;31/07/2026;31/07/2027;22947;SUSPENSAO CAPACETE;SUSPENSAO CAPACETE;1.320.408,70;02.577.095/0001-36
;556963;2026.0246;SENAI-DR/ES;VIGENTE;ELETROVAN MATERIAL ELETRICO LTDA.;31/07/2026;31/07/2027;10236;RESPIRADOR PURIFICADOR, COMPLEMENTO: AR TIPO PECA SEMIFACIAL;RESPIRADOR PURIFICADOR, COMPLEMENTO: AR TIPO PECA SEMIFACIAL;1.320.408,70;02.577.095/0001-36
;563520;2026.0246;SENAI-DR/ES;VIGENTE;ELETROVAN MATERIAL ELETRICO LTDA.;31/07/2026;31/07/2027;16398;RESPIRADOR PURIFICADOR, COMPLEMENTO: AR TIPO PECA SEMI FACIAL FILTRANTE SISTEMA 3 PAINEIS PARTICULAS PFF2 SL VALVULA;RESPIRADOR PURIFICADOR, COMPLEMENTO: AR TIPO PECA SEMI FACIAL FILTRANTE SISTEMA 3 PAINEIS PARTICULAS PFF2 SL VALVULA;1.320.408,70;02.577.095/0001-36
;567143;2026.0246;SENAI-DR/ES;VIGENTE;ELETROVAN MATERIAL ELETRICO LTDA.;31/07/2026;31/07/2027;20196;"RESPIRADOR PURIFICADOR DE AR TIPO PECA SEMIFACIAL FILTRANTE PARA PARTICULAS CLASSE PFF2 ""S"", SEM VALVULA DE EXALACAO";"RESPIRADOR PURIFICADOR DE AR TIPO PECA SEMIFACIAL FILTRANTE PARA PARTICULAS CLASSE PFF2 ""S"", SEM VALVULA DE EXALACAO";1.320.408,70;02.577.095/0001-36
;556715;2026.0246;SENAI-DR/ES;VIGENTE;ELETROVAN MATERIAL ELETRICO LTDA.;31/07/2026;31/07/2027;9985;REPELENTE INSETOS, COMPLEMENTO: ATOXICO 120ML;REPELENTE INSETOS, COMPLEMENTO: ATOXICO 120ML;1.320.408,70;02.577.095/0001-36
;556228;2026.0246;SENAI-DR/ES;VIGENTE;ELETROVAN MATERIAL ELETRICO LTDA.;31/07/2026;31/07/2027;9543;PROTETOR AUDITIVO, COMPLEMENTO: TIPO CONCHA;PROTETOR AUDITIVO, COMPLEMENTO: TIPO CONCHA;1.320.408,70;02.577.095/0001-36
