;"GERÊNCIA DE SUPRIMENTOS
LISTA DE ITENS VIGENTES EM ATAS E CONTRATOS - ATT 12/08/2026";;;;;;;;;;;
;COD. PRODUTO FLUIG;CONTRATO;ENTIDADE;STATUSCONTRATO;FORNECEDOR;DATA INICIO;DATA FIM;IDPRD RM;NOME FANTASIA;DESC. PRODUTO;R$ TOTAL CONTRATO;CNPJ
;558868;2026.0111;SESI-DR/ES;VIGENTE;LILIAN LABORATORIO DE ANALISES CLINICAS LTDA;14/04/2026;14/04/2031;12164;Credenciamento - Oftalmologia;Credenciamento - Oftalmologia;800.000,00;30.574.677/0001-02
;558865;2026.0111;SESI-DR/ES;VIGENTE;LILIAN LABORATORIO DE ANALISES CLINICAS LTDA;14/04/2026;14/04/2031;12161;Credenciamento - Cardiologia;Credenciamento - Cardiologia;800.000,00;30.574.677/0001-02
;558844;2026.0111;SESI-DR/ES;VIGENTE;LILIAN LABORATORIO DE ANALISES CLINICAS LTDA;14/04/2026;14/04/2031;12140;CREDENCIAMENTO MEDICINA DO TRABALHO, TIPO: CONSULTA OCUPACIONAL (ADMISSIONAL, PERIODICO, RETORNO AO TRABALHO, MUDANCA DE;CREDENCIAMENTO MEDICINA DO TRABALHO, TIPO: CONSULTA OCUPACIONAL (ADMISSIONAL, PERIODICO, RETORNO AO TRABALHO, MUDANCA DE FUNCAO, DEMISSIONAL, COMPLEMENTAR, AVALIACAO MEDICA PPR), COMPLEMENTO: (ADM TRAB DEM MED;800.000,00;30.574.677/0001-02
;007747;2026.0099;SESI-DR/ES;VENCENDO;LABORATORIO SANTANNA;14/04/2026;14/10/2026;7747;EXAMES MÉDICOS E LABORATORIAIS;EXAMES MÉDICOS E LABORATORIAIS;36.106,00;30.571.541/0001-30
;558844;2026.0109;SESI-DR/ES;VIGENTE;FASEG MEDICINA E SEGURANCA DO TRABALHO;12/04/2026;12/04/2031;12140;CREDENCIAMENTO MEDICINA DO TRABALHO, TIPO: CONSULTA OCUPACIONAL (ADMISSIONAL, PERIODICO, RETORNO AO TRABALHO, MUDANCA DE;CREDENCIAMENTO MEDICINA DO TRABALHO, TIPO: CONSULTA OCUPACIONAL (ADMISSIONAL, PERIODICO, RETORNO AO TRABALHO, MUDANCA DE FUNCAO, DEMISSIONAL, COMPLEMENTAR, AVALIACAO MEDICA PPR), COMPLEMENTO: (ADM TRAB DEM MED;1.000.000,00;28.766.900/0001-63
;558844;2026.0109;SESI-DR/ES;VIGENTE;FASEG MEDICINA E SEGURANCA DO TRABALHO;12/04/2026;12/04/2031;12140;CREDENCIAMENTO MEDICINA DO TRABALHO, TIPO: CONSULTA OCUPACIONAL (ADMISSIONAL, PERIODICO, RETORNO AO TRABALHO, MUDANCA DE;CREDENCIAMENTO MEDICINA DO TRABALHO, TIPO: CONSULTA OCUPACIONAL (ADMISSIONAL, PERIODICO, RETORNO AO TRABALHO, MUDANCA DE FUNCAO, DEMISSIONAL, COMPLEMENTAR, AVALIACAO MEDICA PPR), COMPLEMENTO: (ADM TRAB DEM MED;1.000.000,00;28.766.900/0001-63
;557753;2026.0109;SESI-DR/ES;VIGENTE;FASEG MEDICINA E SEGURANCA DO TRABALHO;12/04/2026;12/04/2031;11049;RADIOLOGIA RAIO X COM LAUDO;RADIOLOGIA RAIO X COM LAUDO;1.000.000,00;28.766.900/0001-63
;556143;2026.0109;SESI-DR/ES;VIGENTE;FASEG MEDICINA E SEGURANCA DO TRABALHO;12/04/2026;12/04/2031;9456;CREDENCIAMENTO - EXAMES LABORATORIAIS;CREDENCIAMENTO - EXAMES LABORATORIAIS;1.000.000,00;28.766.900/0001-63
;558831;2026.0109;SESI-DR/ES;VIGENTE;FASEG MEDICINA E SEGURANCA DO TRABALHO;12/04/2026;12/04/2031;12127;Credenciamento - Fonoaudiólogo;Credenciamento - Fonoaudiólogo;1.000.000,00;28.766.900/0001-63
;558867;2026.0109;SESI-DR/ES;VIGENTE;FASEG MEDICINA E SEGURANCA DO TRABALHO;12/04/2026;12/04/2031;12163;Credenciamento - Pneumologia;Credenciamento - Pneumologia;1.000.000,00;28.766.900/0001-63
;558868;2026.0109;SESI-DR/ES;VIGENTE;FASEG MEDICINA E SEGURANCA DO TRABALHO;12/04/2026;12/04/2031;12164;Credenciamento - Oftalmologia;Credenciamento - Oftalmologia;1.000.000,00;28.766.900/0001-63
;558865;2026.0109;SESI-DR/ES;VIGENTE;FASEG MEDICINA E SEGURANCA DO TRABALHO;12/04/2026;12/04/2031;12161;Credenciamento - Cardiologia;Credenciamento - Cardiologia;1.000.000,00;28.766.900/0001-63
;558870;2026.0109;SESI-DR/ES;VIGENTE;FASEG MEDICINA E SEGURANCA DO TRABALHO;12/04/2026;12/04/2031;12166;Credenciamento - Neurologia;Credenciamento - Neurologia;1.000.000,00;28.766.900/0001-63
;558844;2026.0109;SESI-DR/ES;VIGENTE;FASEG MEDICINA E SEGURANCA DO TRABALHO;12/04/2026;12/04/2031;12140;CREDENCIAMENTO MEDICINA DO TRABALHO, TIPO: CONSULTA OCUPACIONAL (ADMISSIONAL, PERIODICO, RETORNO AO TRABALHO, MUDANCA DE;CREDENCIAMENTO MEDICINA DO TRABALHO, TIPO: CONSULTA OCUPACIONAL (ADMISSIONAL, PERIODICO, RETORNO AO TRABALHO, MUDANCA DE FUNCAO, DEMISSIONAL, COMPLEMENTAR, AVALIACAO MEDICA PPR), COMPLEMENTO: (ADM TRAB DEM MED;1.000.000,00;28.766.900/0001-63
;555991;2026.0108;SENAI-DR/ES;VIGENTE;REMNANT LTDA;12/04/2026;12/04/2028;9296;DESENVOLVIMENTO DE PRODUTO, COMPLEMENTO: PRODUTOS;DESENVOLVIMENTO DE PRODUTO, COMPLEMENTO: PRODUTOS;60.000,00;62.837.427/0001-04
;564389;2026.0114;SESI-DR/ES;VIGENTE;ALIANCA EPI COM SERVICOS;09/04/2026;09/04/2027;17275;CAMISA POLO, TIPO: CAMISA, MODELO: MANGA CURTA, COMPLEMENTO: UNISSEX LOGOMARCA BORDADO;CAMISA POLO, TIPO: CAMISA, MODELO: MANGA CURTA, COMPLEMENTO: UNISSEX LOGOMARCA BORDADO;103.242,60;23.299.117/0001-13
;564579;2026.0114;SESI-DR/ES;VIGENTE;ALIANCA EPI COM SERVICOS;09/04/2026;09/04/2027;17465;CAMISA SOCIAL, TIPO: CAMISA, MODELO: MANGA LONGA, COMPLEMENTO: UNISSEX TECIDO TRICOLINE;CAMISA SOCIAL, TIPO: CAMISA, MODELO: MANGA LONGA, COMPLEMENTO: UNISSEX TECIDO TRICOLINE;103.242,60;23.299.117/0001-13
;569615;2026.0114;SESI-DR/ES;VIGENTE;ALIANCA EPI COM SERVICOS;09/04/2026;09/04/2027;22942;CALCA UNIFORME;CALCA UNIFORME;103.242,60;23.299.117/0001-13
;571514;2026.0114;SESI-DR/ES;VIGENTE;ALIANCA EPI COM SERVICOS;09/04/2026;09/04/2027;24861;CAMISA MALHA, TIPO: CAMISA, MODELO: MANGA CURTA;CAMISA MALHA, TIPO: CAMISA, MODELO: MANGA CURTA;103.242,60;23.299.117/0001-13
;571514;2026.0114;SESI-DR/ES;VIGENTE;ALIANCA EPI COM SERVICOS;09/04/2026;09/04/2027;24861;CAMISA MALHA, TIPO: CAMISA, MODELO: MANGA CURTA;CAMISA MALHA, TIPO: CAMISA, MODELO: MANGA CURTA;103.242,60;23.299.117/0001-13
;009101;2026.0121;FINDES;VIGENTE;FEC;06/04/2026;06/10/2027;9110;ASSESSORIA E CONSULTORIA ADMINISTRATIVA;ASSESSORIA E CONSULTORIA ADMINISTRATIVA;531.872,00;03.438.229/0001-09
;573342;2026.0128;FINDES;VIGENTE;ASSOCIACAO DOS EMPRESARIOS DA SERRA;01/04/2026;01/04/2027;26684;PATROCINIO DE EVENTO;PATROCINIO DE EVENTO;35.000,00;27.457.308/0001-17
;007738;2026.0107;SENAI-DR/ES;VENCENDO;SERRAMAQ FERRAMENTAS COMERCIO E SERVIÇOS EIRELI;01/04/2026;01/10/2026;7738;SERVIÇO DE FORNECIMENTO E INSTALAÇÃO;SERVIÇO DE FORNECIMENTO E INSTALAÇÃO;69.687,96;04.643.369/0001-73
;579447;2026.0107;SENAI-DR/ES;VENCENDO;SERRAMAQ FERRAMENTAS COMERCIO E SERVIÇOS EIRELI;01/04/2026;01/10/2026;32554;BASE ANTIVIBRATORIA,MATERIAL:ELASTOMERO,COMPLEMENTO: DIMENSIONADOS PARA O PESO DO EQUIPAMENTO;BASE ANTIVIBRATORIA,MATERIAL:ELASTOMERO,COMPLEMENTO: DIMENSIONADOS PARA O PESO DO EQUIPAMENTO;69.687,96;04.643.369/0001-73
;579446;2026.0107;SENAI-DR/ES;VENCENDO;SERRAMAQ FERRAMENTAS COMERCIO E SERVIÇOS EIRELI;01/04/2026;01/10/2026;32553;SOFT STARTER,COMPLEMENTO:COMPATIVEL COM COMPRESSOR 7HP,3F 220V,CHAVE DE PARTIDA LIGA/DESLIGA;SOFT STARTER,COMPLEMENTO:COMPATIVEL COM COMPRESSOR 7HP,3F 220V,CHAVE DE PARTIDA LIGA/DESLIGA;69.687,96;04.643.369/0001-73
;579445;2026.0107;SENAI-DR/ES;VENCENDO;SERRAMAQ FERRAMENTAS COMERCIO E SERVIÇOS EIRELI;01/04/2026;01/10/2026;32552;MANOMETRO PRESSAO, BITOLA:1/4BSP D50, COMPLEMENTO:PRESSAO DE 0 A 20BAR AXIAL COM GLICERINA;MANOMETRO PRESSAO, BITOLA:1/4BSP D50, COMPLEMENTO:PRESSAO DE 0 A 20BAR AXIAL COM GLICERINA;69.687,96;04.643.369/0001-73
;570670;2026.0107;SENAI-DR/ES;VENCENDO;SERRAMAQ FERRAMENTAS COMERCIO E SERVIÇOS EIRELI;01/04/2026;01/10/2026;24012;FILTRO SECADOR, COMPLEMENTO: 3/4 SILICA 10G 100M RAB;FILTRO SECADOR, COMPLEMENTO: 3/4 SILICA 10G 100M RAB;69.687,96;04.643.369/0001-73
;575606;2026.0107;SENAI-DR/ES;VENCENDO;SERRAMAQ FERRAMENTAS COMERCIO E SERVIÇOS EIRELI;01/04/2026;01/10/2026;28950;"PURGADOR, TIPO:ELETRONICO, USO:COMPRESSOR, EXTRA:ROSCA DE 1/4"" BSP, TENSAO:220V, VIAS/POSICOES:2/2 NORMALMENTE FECHADA";"PURGADOR, TIPO:ELETRONICO, USO:COMPRESSOR, EXTRA:ROSCA DE 1/4"" BSP, TENSAO:220V, VIAS/POSICOES:2/2 NORMALMENTE FECHADA";69.687,96;04.643.369/0001-73
;579449;2026.0107;SENAI-DR/ES;VENCENDO;SERRAMAQ FERRAMENTAS COMERCIO E SERVIÇOS EIRELI;01/04/2026;01/10/2026;32556;VALVULA DE BLOQUEIO,TIPO:ESFERA,COMPLEMENTO: COMPATIVEL COM A PRESSAO DO SISTEMA;VALVULA DE BLOQUEIO,TIPO:ESFERA,COMPLEMENTO: COMPATIVEL COM A PRESSAO DO SISTEMA;69.687,96;04.643.369/0001-73
;561053;2026.0107;SENAI-DR/ES;VENCENDO;SERRAMAQ FERRAMENTAS COMERCIO E SERVIÇOS EIRELI;01/04/2026;01/10/2026;14381;VALVULA SEGURANCA;VALVULA SEGURANCA;69.687,96;04.643.369/0001-73
;579443;2026.0107;SENAI-DR/ES;VENCENDO;SERRAMAQ FERRAMENTAS COMERCIO E SERVIÇOS EIRELI;01/04/2026;01/10/2026;32550;SEPARADOR DE CONDENSADO,CAPACIDADE:500LITROS,COMPLEMENTO:PLACA DE IDENTIFICACAO E ENQUADRAMENTO NA NR-13;SEPARADOR DE CONDENSADO,CAPACIDADE:500LITROS,COMPLEMENTO:PLACA DE IDENTIFICACAO E ENQUADRAMENTO NA NR-13;69.687,96;04.643.369/0001-73
;579442;2026.0107;SENAI-DR/ES;VENCENDO;SERRAMAQ FERRAMENTAS COMERCIO E SERVIÇOS EIRELI;01/04/2026;01/10/2026;32549;COMPRESSOR,TIPO:PISTAO,POTENCIA:7HP,VAZAO MINIMA:25PCM,COMPLEMENTO:10BAR,3F 220V;COMPRESSOR,TIPO:PISTAO,POTENCIA:7HP,VAZAO MINIMA:25PCM,COMPLEMENTO:10BAR,3F 220V;69.687,96;04.643.369/0001-73
;555976;2026.0097;IEL/ES;VIGENTE;S&S MAX SOLUCOES LTDA;01/04/2026;01/04/2027;9279;PAPEL SULFITE ROSA A4;PAPEL SULFITE ROSA A4;16.992,70;61.305.232/0001-42
;009115;2026.0097;IEL/ES;VIGENTE;S&S MAX SOLUCOES LTDA;01/04/2026;01/04/2027;9127;PAPEL SULFITE AZUL - A4;PAPEL SULFITE AZUL - A4;16.992,70;61.305.232/0001-42
;555974;2026.0097;IEL/ES;VIGENTE;S&S MAX SOLUCOES LTDA;01/04/2026;01/04/2027;9277;PAPEL SULFITE AMARELO A4;PAPEL SULFITE AMARELO A4;16.992,70;61.305.232/0001-42
;578116;2026.0097;IEL/ES;VIGENTE;S&S MAX SOLUCOES LTDA;01/04/2026;01/04/2027;31455;PAPEL,TIPO:SULFITE,DIMENSOES:210X297MM,GRAMATURA:180G/M2,EMBALAGEM:50FLS;PAPEL,TIPO:SULFITE,DIMENSOES:210X297MM,GRAMATURA:180G/M2,EMBALAGEM:50FLS;16.992,70;61.305.232/0001-42
;571443;2026.0097;IEL/ES;VIGENTE;S&S MAX SOLUCOES LTDA;01/04/2026;01/04/2027;24789;PAPEL CENARIO;PAPEL CENARIO;16.992,70;61.305.232/0001-42
;555976;2026.0097;SENAI-DR/ES;VIGENTE;S&S MAX SOLUCOES LTDA;01/04/2026;01/04/2027;9279;PAPEL SULFITE ROSA A4;PAPEL SULFITE ROSA A4;16.992,70;61.305.232/0001-42
;009115;2026.0097;SENAI-DR/ES;VIGENTE;S&S MAX SOLUCOES LTDA;01/04/2026;01/04/2027;9127;PAPEL SULFITE AZUL - A4;PAPEL SULFITE AZUL - A4;16.992,70;61.305.232/0001-42
;555974;2026.0097;SENAI-DR/ES;VIGENTE;S&S MAX SOLUCOES LTDA;01/04/2026;01/04/2027;9277;PAPEL SULFITE AMARELO A4;PAPEL SULFITE AMARELO A4;16.992,70;61.305.232/0001-42
;578116;2026.0097;SENAI-DR/ES;VIGENTE;S&S MAX SOLUCOES LTDA;01/04/2026;01/04/2027;31455;PAPEL,TIPO:SULFITE,DIMENSOES:210X297MM,GRAMATURA:180G/M2,EMBALAGEM:50FLS;PAPEL,TIPO:SULFITE,DIMENSOES:210X297MM,GRAMATURA:180G/M2,EMBALAGEM:50FLS;16.992,70;61.305.232/0001-42
;572820;2026.0097;SENAI-DR/ES;VIGENTE;S&S MAX SOLUCOES LTDA;01/04/2026;01/04/2027;26162;PAPEL KRAFT GR 80 PARDO GRAMATURA: 80 G/M2 LARGURAS: 1,20M;PAPEL KRAFT GR 80 PARDO GRAMATURA: 80 G/M2 LARGURAS: 1,20M;16.992,70;61.305.232/0001-42
;571443;2026.0097;SENAI-DR/ES;VIGENTE;S&S MAX SOLUCOES LTDA;01/04/2026;01/04/2027;24789;PAPEL CENARIO;PAPEL CENARIO;16.992,70;61.305.232/0001-42
;555976;2026.0097;SESI-DR/ES;VIGENTE;S&S MAX SOLUCOES LTDA;01/04/2026;01/04/2027;9279;PAPEL SULFITE ROSA A4;PAPEL SULFITE ROSA A4;16.992,70;61.305.232/0001-42
;009115;2026.0097;SESI-DR/ES;VIGENTE;S&S MAX SOLUCOES LTDA;01/04/2026;01/04/2027;9127;PAPEL SULFITE AZUL - A4;PAPEL SULFITE AZUL - A4;16.992,70;61.305.232/0001-42
;555974;2026.0097;SESI-DR/ES;VIGENTE;S&S MAX SOLUCOES LTDA;01/04/2026;01/04/2027;9277;PAPEL SULFITE AMARELO A4;PAPEL SULFITE AMARELO A4;16.992,70;61.305.232/0001-42
;578116;2026.0097;SESI-DR/ES;VIGENTE;S&S MAX SOLUCOES LTDA;01/04/2026;01/04/2027;31455;PAPEL,TIPO:SULFITE,DIMENSOES:210X297MM,GRAMATURA:180G/M2,EMBALAGEM:50FLS;PAPEL,TIPO:SULFITE,DIMENSOES:210X297MM,GRAMATURA:180G/M2,EMBALAGEM:50FLS;16.992,70;61.305.232/0001-42
;572820;2026.0097;SESI-DR/ES;VIGENTE;S&S MAX SOLUCOES LTDA;01/04/2026;01/04/2027;26162;PAPEL KRAFT GR 80 PARDO GRAMATURA: 80 G/M2 LARGURAS: 1,20M;PAPEL KRAFT GR 80 PARDO GRAMATURA: 80 G/M2 LARGURAS: 1,20M;16.992,70;61.305.232/0001-42
;571443;2026.0097;SESI-DR/ES;VIGENTE;S&S MAX SOLUCOES LTDA;01/04/2026;01/04/2027;24789;PAPEL CENARIO;PAPEL CENARIO;16.992,70;61.305.232/0001-42
;000809;2026.0096;IEL/ES;VIGENTE;EFETE SOLUCOES EMPRESARIAIS LTDA;01/04/2026;01/04/2027;893;MARCADOR, FUNCAO: QUADRO BRANCO, COMPLEMENTO: RECARREGAVEL, COR VERMELHO;MARCADOR, FUNCAO: QUADRO BRANCO, COMPLEMENTO: RECARREGAVEL, COR VERMELHO;119.097,90;60.024.732/0001-43
;000807;2026.0096;IEL/ES;VIGENTE;EFETE SOLUCOES EMPRESARIAIS LTDA;01/04/2026;01/04/2027;891;MARCADOR, FUNCAO: QUADRO BRANCO, COMPLEMENTO: RECARREGAVEL , COR PRETO;MARCADOR, FUNCAO: QUADRO BRANCO, COMPLEMENTO: RECARREGAVEL , COR PRETO;119.097,90;60.024.732/0001-43
;000802;2026.0096;IEL/ES;VIGENTE;EFETE SOLUCOES EMPRESARIAIS LTDA;01/04/2026;01/04/2027;886;MARCADOR, FUNCAO: QUADRO BRANCO, COMPLEMENTO: RECARREGAVEL, COR AZUL;MARCADOR, FUNCAO: QUADRO BRANCO, COMPLEMENTO: RECARREGAVEL, COR AZUL;119.097,90;60.024.732/0001-43
;576102;2026.0096;SENAI-DR/ES;VIGENTE;EFETE SOLUCOES EMPRESARIAIS LTDA;01/04/2026;01/04/2027;29451;TINTA, TIPO:MARCADOR DE QUADRO BRANCO, EMBALAGEM:15ML,COR:VERMELHA;TINTA, TIPO:MARCADOR DE QUADRO BRANCO, EMBALAGEM:15ML,COR:VERMELHA;119.097,90;60.024.732/0001-43
;576100;2026.0096;SENAI-DR/ES;VIGENTE;EFETE SOLUCOES EMPRESARIAIS LTDA;01/04/2026;01/04/2027;29449;TINTA, TIPO:MARCADOR, EMBALAGEM:15ML,COR:PRETA;TINTA, TIPO:MARCADOR, EMBALAGEM:15ML,COR:PRETA;119.097,90;60.024.732/0001-43
;576101;2026.0096;SENAI-DR/ES;VIGENTE;EFETE SOLUCOES EMPRESARIAIS LTDA;01/04/2026;01/04/2027;29450;TINTA, TIPO:MARCADOR DE QUADRO BRANCO, EMBALAGEM:15ML,COR:AZUL;TINTA, TIPO:MARCADOR DE QUADRO BRANCO, EMBALAGEM:15ML,COR:AZUL;119.097,90;60.024.732/0001-43
;000809;2026.0096;SENAI-DR/ES;VIGENTE;EFETE SOLUCOES EMPRESARIAIS LTDA;01/04/2026;01/04/2027;893;MARCADOR, FUNCAO: QUADRO BRANCO, COMPLEMENTO: RECARREGAVEL, COR VERMELHO;MARCADOR, FUNCAO: QUADRO BRANCO, COMPLEMENTO: RECARREGAVEL, COR VERMELHO;119.097,90;60.024.732/0001-43
;000807;2026.0096;SENAI-DR/ES;VIGENTE;EFETE SOLUCOES EMPRESARIAIS LTDA;01/04/2026;01/04/2027;891;MARCADOR, FUNCAO: QUADRO BRANCO, COMPLEMENTO: RECARREGAVEL , COR PRETO;MARCADOR, FUNCAO: QUADRO BRANCO, COMPLEMENTO: RECARREGAVEL , COR PRETO;119.097,90;60.024.732/0001-43
;000802;2026.0096;SENAI-DR/ES;VIGENTE;EFETE SOLUCOES EMPRESARIAIS LTDA;01/04/2026;01/04/2027;886;MARCADOR, FUNCAO: QUADRO BRANCO, COMPLEMENTO: RECARREGAVEL, COR AZUL;MARCADOR, FUNCAO: QUADRO BRANCO, COMPLEMENTO: RECARREGAVEL, COR AZUL;119.097,90;60.024.732/0001-43
;000466;2026.0096;SENAI-DR/ES;VIGENTE;EFETE SOLUCOES EMPRESARIAIS LTDA;01/04/2026;01/04/2027;550;APAGADOR, FUNCAO: QUADRO BRANCO, MATERIAL: PLASTICO;APAGADOR, FUNCAO: QUADRO BRANCO, MATERIAL: PLASTICO;119.097,90;60.024.732/0001-43
;576102;2026.0096;SESI-DR/ES;VIGENTE;EFETE SOLUCOES EMPRESARIAIS LTDA;01/04/2026;01/04/2027;29451;TINTA, TIPO:MARCADOR DE QUADRO BRANCO, EMBALAGEM:15ML,COR:VERMELHA;TINTA, TIPO:MARCADOR DE QUADRO BRANCO, EMBALAGEM:15ML,COR:VERMELHA;119.097,90;60.024.732/0001-43
;576100;2026.0096;SESI-DR/ES;VIGENTE;EFETE SOLUCOES EMPRESARIAIS LTDA;01/04/2026;01/04/2027;29449;TINTA, TIPO:MARCADOR, EMBALAGEM:15ML,COR:PRETA;TINTA, TIPO:MARCADOR, EMBALAGEM:15ML,COR:PRETA;119.097,90;60.024.732/0001-43
;576101;2026.0096;SESI-DR/ES;VIGENTE;EFETE SOLUCOES EMPRESARIAIS LTDA;01/04/2026;01/04/2027;29450;TINTA, TIPO:MARCADOR DE QUADRO BRANCO, EMBALAGEM:15ML,COR:AZUL;TINTA, TIPO:MARCADOR DE QUADRO BRANCO, EMBALAGEM:15ML,COR:AZUL;119.097,90;60.024.732/0001-43
;000809;2026.0096;SESI-DR/ES;VIGENTE;EFETE SOLUCOES EMPRESARIAIS LTDA;01/04/2026;01/04/2027;893;MARCADOR, FUNCAO: QUADRO BRANCO, COMPLEMENTO: RECARREGAVEL, COR VERMELHO;MARCADOR, FUNCAO: QUADRO BRANCO, COMPLEMENTO: RECARREGAVEL, COR VERMELHO;119.097,90;60.024.732/0001-43
;000807;2026.0096;SESI-DR/ES;VIGENTE;EFETE SOLUCOES EMPRESARIAIS LTDA;01/04/2026;01/04/2027;891;MARCADOR, FUNCAO: QUADRO BRANCO, COMPLEMENTO: RECARREGAVEL , COR PRETO;MARCADOR, FUNCAO: QUADRO BRANCO, COMPLEMENTO: RECARREGAVEL , COR PRETO;119.097,90;60.024.732/0001-43
;000802;2026.0096;SESI-DR/ES;VIGENTE;EFETE SOLUCOES EMPRESARIAIS LTDA;01/04/2026;01/04/2027;886;MARCADOR, FUNCAO: QUADRO BRANCO, COMPLEMENTO: RECARREGAVEL, COR AZUL;MARCADOR, FUNCAO: QUADRO BRANCO, COMPLEMENTO: RECARREGAVEL, COR AZUL;119.097,90;60.024.732/0001-43
;000466;2026.0096;SESI-DR/ES;VIGENTE;EFETE SOLUCOES EMPRESARIAIS LTDA;01/04/2026;01/04/2027;550;APAGADOR, FUNCAO: QUADRO BRANCO, MATERIAL: PLASTICO;APAGADOR, FUNCAO: QUADRO BRANCO, MATERIAL: PLASTICO;119.097,90;60.024.732/0001-43
;565106;2026.0102;SESI-DR/ES;VENCENDO;ENGETEL ENGENHARIA E SERVICOS LTDA.;30/03/2026;30/09/2026;18036;OBRA EM ANDAMENTO, COMPLEMENTO: SERVICOS ENGENHARIA OBRAS;OBRA EM ANDAMENTO, COMPLEMENTO: SERVICOS ENGENHARIA OBRAS;68.516,48;30.787.410/0001-95
;579239;2026.0095;CONEF;VIGENTE;S.F.P. ARDIÇÃO MANUTENÇÃO INDUSTRIAL;30/03/2026;30/03/2027;32346;MANUTENCAO,TIPO:BENS PATRIMONIAIS,COMPLEMENTO:POR DEMANDA;MANUTENCAO,TIPO:BENS PATRIMONIAIS,COMPLEMENTO:POR DEMANDA;1.943.480,69;36.014.073/0001-80
;572848;2026.0095;CONEF;VIGENTE;S.F.P. ARDIÇÃO MANUTENÇÃO INDUSTRIAL;30/03/2026;30/03/2027;26190;MANUTENCAO DE BEM PATRIMONIAL, COMPLEMENTO: SERVICO BENS PATRIMONIAIS;MANUTENCAO DE BEM PATRIMONIAL, COMPLEMENTO: SERVICO BENS PATRIMONIAIS;1.943.480,69;36.014.073/0001-80
;579239;2026.0095;SENAI-DR/ES;VIGENTE;S.F.P. ARDIÇÃO MANUTENÇÃO INDUSTRIAL;30/03/2026;30/03/2027;32346;MANUTENCAO,TIPO:BENS PATRIMONIAIS,COMPLEMENTO:POR DEMANDA;MANUTENCAO,TIPO:BENS PATRIMONIAIS,COMPLEMENTO:POR DEMANDA;1.943.480,69;36.014.073/0001-80
;572848;2026.0095;SENAI-DR/ES;VIGENTE;S.F.P. ARDIÇÃO MANUTENÇÃO INDUSTRIAL;30/03/2026;30/03/2027;26190;MANUTENCAO DE BEM PATRIMONIAL, COMPLEMENTO: SERVICO BENS PATRIMONIAIS;MANUTENCAO DE BEM PATRIMONIAL, COMPLEMENTO: SERVICO BENS PATRIMONIAIS;1.943.480,69;36.014.073/0001-80
;579239;2026.0095;SESI-DR/ES;VIGENTE;S.F.P. ARDIÇÃO MANUTENÇÃO INDUSTRIAL;30/03/2026;30/03/2027;32346;MANUTENCAO,TIPO:BENS PATRIMONIAIS,COMPLEMENTO:POR DEMANDA;MANUTENCAO,TIPO:BENS PATRIMONIAIS,COMPLEMENTO:POR DEMANDA;1.943.480,69;36.014.073/0001-80
;572848;2026.0095;SESI-DR/ES;VIGENTE;S.F.P. ARDIÇÃO MANUTENÇÃO INDUSTRIAL;30/03/2026;30/03/2027;26190;MANUTENCAO DE BEM PATRIMONIAL, COMPLEMENTO: SERVICO BENS PATRIMONIAIS;MANUTENCAO DE BEM PATRIMONIAL, COMPLEMENTO: SERVICO BENS PATRIMONIAIS;1.943.480,69;36.014.073/0001-80
;568906;2026.0103;SESI-DR/ES;VIGENTE;PJ BOMBAS E ELETRICA LTDA;27/03/2026;27/03/2027;22099;MANUTENCAO DE EQUIPAMENTOS DE AQUECEDORES DO COMPLEXO AQUATICO;PARA A MANUTENCAO PREVENTIVA TRIMESTRAL DOS TRES AQUECEDORES DO COMPLEXO AQUATICO;24.981,68;54.467.841/0001-32
;573342;2026.0100;SENAI-DR/ES;VENCENDO;FEDERAÇÃO DAS INDÚSTRIAS DO ESTADO DO ESPIRITO SANTO - FINDES;25/03/2026;25/09/2026;26684;PATROCINIO DE EVENTO;PATROCINIO DE EVENTO;10.000,00;28.151.645/0001-44
;567758;2026.0104;SESI-DR/ES;VIGENTE;GAMA ENSINO;24/03/2026;24/03/2027;20812;SIMULADO ENSINO MÉDIO;"SIMULADO ENSINO MÉDIO

";335.713,00;24.544.159/0001-35
;008259;2026.0104;SESI-DR/ES;VIGENTE;GAMA ENSINO;24/03/2026;24/03/2027;8259;AQUISIÇÃO DE LICENÇA DE USO DE SOFTWARE;AQUISIÇÃO DE LICENÇA DE USO DE SOFTWARE;335.713,00;24.544.159/0001-35
;577420;2026.0093;SESI-DR/ES;VIGENTE;BERNABE ALFREDO SANJOMBI;20/03/2026;20/03/2027;30770;GAS,TIPO:OXIGENIO, COMPLEMENTO: CAPACIDADE 3M3;GAS,TIPO:OXIGENIO, COMPLEMENTO: CAPACIDADE 3M3;2.330,00;012.019.956-47
;559694;2026.0093;SESI-DR/ES;VIGENTE;BERNABE ALFREDO SANJOMBI;20/03/2026;20/03/2027;13007;GAS OXIGENIO, COMPLEMENTO: CILINDRO 1M3;GAS OXIGENIO, COMPLEMENTO: CILINDRO 1M3;2.330,00;012.019.956-47
;557301;2026.0094;IEL/ES;VIGENTE;P & B CONSULTORIA;19/03/2026;30/04/2027;10591;ASSESSORIA E CONSULTORIA EM GESTAO EMPRESARIAL;ASSESSORIA E CONSULTORIA EM GESTAO EMPRESARIAL;90.000,00;15.399.789/0001-72
